model_name,forecast_created_at,target_date,he,bus_id,zone_id,predict_pd
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,GAF_138KV_1,COAS,5.361908
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,WI_138KV_1,COAS,66.294377
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,ED_138KV_1,COAS,10.732019
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,ED_138KV_2,COAS,12.073407
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,ED_138KV_3,COAS,11.841109
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,ED_138KV_4,COAS,0.000000
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,DSN_138KV_1,COAS,5.456273
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,STP_345KV_1,COAS,3.158170
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,VET_138KV_1,COAS,0.149167
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,VET_138KV_2,COAS,11.841109
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,CAL_138KV_1,COAS,0.000000
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,MIDFIELD_69KV_1,COAS,11.841109
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,SB_138KV_1,COAS,18.365708
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,INT_138KV_1,COAS,1.445403
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,FD_138KV_1,COAS,45.694974
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,GG_138KV_1,COAS,19.907429
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,GG_138KV_2,COAS,8.208362
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,GG_138KV_3,COAS,11.841109
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,GG_138KV_4,COAS,11.841109
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,INEZS_69KV_1,COAS,3.938545
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,DUP1_V_138KV_1,COAS,0.000000
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,DUP1_V_138KV_2,COAS,0.000000
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,ADK_138KV_1,COAS,34.775325
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,ADK_138KV_2,COAS,13.011675
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,ADK_345KV_1,COAS,11.841109
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,ADK_138KV_3,COAS,20.436000
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,ADK_1KV_1,COAS,11.841109
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,ADK_1KV_2,COAS,11.841109
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,ADK_23KV_1,COAS,11.841109
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,ADK_23KV_2,COAS,11.841109
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,PRS_69KV_1,COAS,11.841109
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,SEADRIFT_69KV_1,COAS,0.954000
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,SALTDOME_69KV_1,COAS,4.007695
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,TNNALVIN_138KV_1,COAS,2.207402
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,RTW_345KV_1,COAS,11.841109
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,RTW_138KV_1,COAS,11.841109
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,RTW_23KV_1,COAS,11.841109
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,RTW_1KV_1,COAS,11.841109
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,RTW_1KV_2,COAS,11.841109
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,RTW_23KV_2,COAS,11.841109
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,MDO_345KV_1,COAS,11.841109
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,MDO_138KV_1,COAS,11.841109
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,MDO_1KV_1,COAS,11.841109
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,MDO_23KV_1,COAS,11.841109
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,MDO_138KV_2,COAS,11.841109
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,MDO_1KV_2,COAS,11.841109
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,MDO_23KV_2,COAS,11.841109
historical_profile_pyarrow,2024-12-01 00:01:00,2025-01-01,1,ZEN_345KV_1,COAS,11.841109
