task,model_name,MAE,RMSE,WMAPE,row_count
next_day_bus_level_2025,historical_profile_pyarrow,4.3478430697510335,13.549748009000442,0.31076132335602963,33447112
next_day_zone_aggregated_2025,historical_profile_pyarrow,1109.18467597913,1663.0696919103864,0.16557777881540256,69856
next_month_bus_level_2025,historical_profile_pyarrow,4.3478430697510335,13.549748009000442,0.31076132335602963,33447112
next_month_zone_aggregated_2025,historical_profile_pyarrow,1109.18467597913,1663.0696919103864,0.16557777881540256,69856
